OBJECTID,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID,SourceID,"Location (Lat, Long)",Activated
848,QU,Limited Free,Time Warner Cable,Bowne Park,155th St between 29th Ave and 32nd Ave,40.771229,-73.80905,1037140.16258,220313.953779,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.77122900000, -73.80905000000)",
849,QU,Limited Free,Time Warner Cable,Bowne Park,32nd Ave between 155th and 156th St,40.769751,-73.808748,1037224.98754,219775.653018,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.76975100000, -73.80874800000)",
850,QU,Limited Free,Time Warner Cable,Bowne Park,32nd Ave between 155th and 156th St,40.769652,-73.807508,1037568.53443,219740.336488,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.76965200000, -73.80750800000)",
851,QU,Limited Free,Time Warner Cable,Bowne Park,32nd Ave between 155th and 156th St,40.769536,-73.805968,1037995.19335,219699.015048,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.76953600000, -73.80596800000)",
852,QU,Limited Free,Time Warner Cable,Bowne Park,159th St between 29th Ave and 32nd Ave,40.770532,-73.805507,1038122.08056,220062.173114,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.77053200000, -73.80550700000)",
853,MN,Limited Free,Time Warner Cable,Bryant Park,Back of library - Corner of 6th Ave by Jose Bonifacio de Andrada e Silva Monument,40.754447,-73.984222,988621.363949,214142.466122,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,"(40.75444700000, -73.98422200000)",
854,BK,Free,AT&T,Brooklyn Heights Promenade,Near Montague St and Brooklyn Queens Expressway,40.6943,-73.9988,984582.765399,192228.662509,Outdoor,,Brooklyn,attwifi,,"(40.69430000000, -73.99880000000)",
855,MN,Limited Free,Time Warner Cable,Bryant Park,Back of library - 2nd St between 5th Ave and 6th Ave,40.754317,-73.983094,988933.890227,214095.161426,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,"(40.75431700000, -73.98309400000)",
856,MN,Limited Free,Time Warner Cable,Bryant Park,Back of library - 40th St between 5th Ave and 6th Ave,40.753164,-73.983964,988692.929422,213675.040547,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,"(40.75316400000, -73.98396400000)",
857,MN,Limited Free,Time Warner Cable,Bryant Park,Back of library - Corner of 6th Ave by 40th St,40.753689,-73.984769,988469.863268,213866.275401,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,"(40.75368900000, -73.98476900000)",
858,MN,Limited Free,Time Warner Cable,Bryant Park,Front library off 5th Ave between 42nd St and 40th St,40.752776,-73.98164,989336.845786,213533.80625,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,"(40.75277600000, -73.98164000000)",
859,BK,Limited Free,Time Warner Cable,Carroll Park,Court off Smith St between Carrol St and 1st Place,40.68063,-73.995382,985530.855038,187248.314202,Outdoor TWC Aerial,3 free 10 min sessions,Brooklyn,GuestWiFi,0,"(40.68063000000, -73.99538200000)",
860,BK,Limited Free,Time Warner Cable,Carroll Park,Court off Smith St between Carrol St and 1st Place,40.68063,-73.995382,985530.855038,187248.314202,Outdoor TWC Aerial,3 free 10 min sessions,Brooklyn,GuestWiFi,0,"(40.68063000000, -73.99538200000)",
861,QU,Limited Free,Time Warner Cable,Kissena Park,Park Perimeter,40.75141,-73.82472,1032814.27228,213084.183133,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.75141000000, -73.82472000000)",
862,QU,Limited Free,Time Warner Cable,Kissena Park,Park Perimeter,40.75014,-73.82284,1033336.09309,212622.529857,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.75014000000, -73.82284000000)",
863,QU,Limited Free,Time Warner Cable,Kissena Park,Park Perimeter,40.7437,-73.81732,1034870.42204,210279.378047,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.74370000000, -73.81732000000)",
864,QU,Limited Free,Time Warner Cable,Kissena Park,Park Perimeter,40.74366,-73.81396,1035801.50351,210266.764228,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.74366000000, -73.81396000000)",
865,MN,Partner Site,Partner,Union Square Park,Entire park,40.7359999997,-73.9903999999,986910.458578,207421.386388,Outdoor,,New York,unionsquarewifi,,"(40.73599999970, -73.99039999990)",
866,MN,Partner Site,Partner,Bryant Park,Entire park,40.7537999998,-73.9833000001,988876.852939,213906.790412,Outdoor,,New York,BryantPark.org,,"(40.75379999980, -73.98330000010)",
867,BK,Free,AT&T,Brooklyn Bridge Park,Near Atlantic Ave and Brooklyn Queens Expressway,40.693,-74.0019,983723.11095,191755.037472,Outdoor,,Brooklyn,attwifi,,"(40.69300000000, -74.00190000000)",
868,QU,Limited Free,Time Warner Cable,Kissena Park,Park Perimeter,40.74549,-73.81357,1035908.15323,210933.719915,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.74549000000, -73.81357000000)",
869,QU,Limited Free,Time Warner Cable,Kissena Park,Park Perimeter,40.74243,-73.81151,1036481.35944,209820.088612,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.74243000000, -73.81151000000)",
870,QU,Limited Free,Time Warner Cable,Kissena Park,Park Perimeter,40.74849,-73.82121,1033788.94684,212022.300743,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,"(40.74849000000, -73.82121000000)",
